EntryTime,ExitTime,EntryPrice,ExitPrice,PnL,ReturnPct,Size,Duration,Direction
2024-09-10 11:15:00,2024-09-11 10:15:00,2506.485,2521.155,259.6249680000014,0.005451647227093036,19.0,0 days 23:00:00,LONG
2024-09-19 10:30:00,2024-09-19 12:30:00,2588.4885,2582.1095,-274.2854251999965,-0.0028638796734078427,37.0,0 days 02:00:00,LONG
2024-09-26 09:00:00,2024-09-26 13:15:00,2669.1385,2659.5265,-384.3983880000029,-0.004000441715557318,36.0,0 days 04:15:00,LONG
2024-10-17 15:15:00,2024-10-18 12:30:00,2691.8455,2714.5555,389.31695640000066,0.00803490386056715,18.0,0 days 21:15:00,LONG
2024-10-17 15:15:00,2024-10-18 13:00:00,2691.8455,2709.6045,300.21678000000026,0.006196013106992884,18.0,0 days 21:45:00,LONG
2024-10-18 14:45:00,2024-10-22 17:45:00,2718.9615,2747.98,502.65201060000237,0.010270506478300592,18.0,4 days 03:00:00,LONG
2024-10-18 14:45:00,2024-10-23 09:15:00,2718.9615,2754.0985,612.762984000003,0.012520364116961735,18.0,4 days 18:30:00,LONG
2024-10-28 14:45:00,2024-10-29 14:15:00,2743.89,2766.2000000000003,381.7436760000072,0.007729166256664884,18.0,0 days 23:30:00,LONG
2024-10-28 14:45:00,2024-10-29 15:30:00,2743.89,2761.005,288.2523780000042,0.005836247444321944,18.0,1 days 00:45:00,LONG
2024-12-09 10:45:00,2024-12-09 15:00:00,2656.08,2674.24,307.6908479999974,0.006435776030842327,18.0,0 days 04:15:00,LONG
2024-12-09 10:45:00,2024-12-09 16:00:00,2656.08,2668.3805,213.4765501000054,0.0042301466446795005,19.0,0 days 05:15:00,LONG
2025-01-07 12:30:00,2025-01-07 13:45:00,2648.265,2661.185,213.4459800000013,0.004477690110317588,18.0,0 days 01:15:00,LONG
2025-01-07 12:30:00,2025-01-07 15:15:00,2648.265,2648.675,-12.338371999994123,-0.0002452126203380234,19.0,0 days 02:45:00,LONG
2025-01-21 12:45:00,2025-01-22 08:15:00,2727.2485,2751.045,408.6151433999986,0.008323715752341521,18.0,0 days 19:30:00,LONG
2025-01-21 12:45:00,2025-01-22 11:45:00,2727.2485,2756.9715,515.2708079999992,0.01049635044257981,18.0,0 days 23:00:00,LONG
2025-01-27 09:30:00,2025-01-27 14:15:00,2762.355,2749.395,-506.2446000000013,-0.005090710643635643,36.0,0 days 04:45:00,LONG
2025-02-13 19:45:00,2025-02-14 15:15:00,2926.545,2914.29,-456.3876780000037,-0.004586694207674952,34.0,0 days 19:30:00,LONG
2025-02-18 15:30:00,2025-02-19 09:30:00,2926.5065,2945.965,310.8280969000032,0.0062477242746600175,17.0,0 days 18:00:00,LONG
2025-02-18 15:30:00,2025-02-19 11:45:00,2926.5065,2941.33,232.04885589999944,0.004664241374485128,17.0,0 days 20:15:00,LONG
2025-02-19 21:15:00,2025-02-20 08:15:00,2936.4500000000003,2954.4285,285.6055130999951,0.005721304398167809,17.0,0 days 11:00:00,LONG
2025-02-19 21:15:00,2025-02-20 11:45:00,2936.4500000000003,2949.81,207.10671599999444,0.00414880144392018,17.0,0 days 14:30:00,LONG
2025-02-21 17:15:00,2025-02-24 01:00:00,2938.175,2925.9035,-457.1067338000098,-0.004575736877483528,34.0,2 days 07:45:00,LONG
2025-03-03 11:15:00,2025-03-04 08:15:00,2874.725,2905.585,534.6708840000023,0.010332792875840257,18.0,0 days 21:00:00,LONG
2025-03-03 11:15:00,2025-03-04 14:15:00,2874.725,2918.2415,720.084413900003,0.014734594335110412,17.0,1 days 03:00:00,LONG
2025-03-25 09:30:00,2025-03-27 10:15:00,3021.3265,3046.055,376.2403791999954,0.007783013090442238,16.0,2 days 00:45:00,LONG
2025-03-25 09:30:00,2025-03-27 13:15:00,3021.3265,3046.18,401.8799778999951,0.007824377371991873,17.0,2 days 03:45:00,LONG
2025-04-10 11:00:00,2025-04-10 15:00:00,3120.315,3154.69,529.919984,0.010614312657536134,16.0,0 days 04:00:00,LONG
2025-04-10 11:00:00,2025-04-11 10:45:00,3120.315,3215.725,1600.4274639999976,0.030170925691797017,17.0,0 days 23:45:00,LONG
2025-04-21 18:45:00,2025-04-22 08:15:00,3425.88,3469.225,629.489684999997,0.012249693217509053,15.0,0 days 13:30:00,LONG
2025-04-21 18:45:00,2025-04-22 08:45:00,3425.88,3451.215,359.39371500000055,0.006993701180426716,15.0,0 days 14:00:00,LONG
2025-04-29 17:30:00,2025-04-30 02:45:00,3323.5950000000003,3305.775,-593.522094000005,-0.005760591768852712,31.0,0 days 09:15:00,LONG
2025-06-04 13:30:00,2025-06-05 09:30:00,3358.3250000000003,3387.932,452.12397759999226,0.00841423882441373,16.0,0 days 20:00:00,LONG
2025-06-04 13:30:00,2025-06-05 11:30:00,3358.3250000000003,3395.415,536.0887799999954,0.010641987300216628,15.0,0 days 22:00:00,LONG
2025-06-13 14:00:00,2025-06-13 15:15:00,3437.2535000000003,3421.83,-503.8595010000099,-0.0048862607020402245,30.0,0 days 01:15:00,LONG
2025-06-18 13:30:00,2025-06-18 14:15:00,3395.315,3381.745,-462.68777200000505,-0.004395884328847253,31.0,0 days 00:45:00,LONG
2025-06-20 14:30:00,2025-06-23 23:30:00,3368.085,3343.15,-814.5946569999983,-0.007801836058175422,31.0,3 days 09:00:00,LONG
2025-07-11 11:15:00,2025-07-15 15:15:00,3348.2000000000003,3334.08,-479.1501360000107,-0.004616347888417742,31.0,4 days 04:00:00,LONG
2025-08-04 14:15:00,2025-08-05 09:30:00,3377.655,3363.1,-477.0945300000087,-0.004708340845941978,30.0,0 days 19:15:00,LONG
2025-08-28 14:30:00,2025-08-29 15:30:00,3410.73,3444.9700000000003,493.03290000000356,0.009636898845701817,15.0,1 days 01:00:00,LONG
2025-08-28 14:30:00,2025-08-29 18:15:00,3410.73,3442.9285,462.4165244999995,0.009038466340050308,15.0,1 days 03:45:00,LONG
2025-09-17 13:30:00,2025-09-17 18:00:00,3676.7165,3665.7235,-348.92166399999826,-0.0033892980326331573,28.0,0 days 04:30:00,LONG
2025-09-19 14:30:00,2025-09-22 08:15:00,3664.2085,3717.37,723.5925801999958,0.014105415753497491,14.0,2 days 17:45:00,LONG
2025-09-19 14:30:00,2025-09-22 12:15:00,3664.2085,3720.8065,771.6939579999994,0.015043084202222633,14.0,2 days 21:45:00,LONG
2025-09-30 20:30:00,2025-10-01 08:15:00,3855.4,3888.035,435.2083819999967,0.00806305778907497,14.0,0 days 11:45:00,LONG
2025-09-30 20:30:00,2025-10-01 11:15:00,3855.4,3883.32,342.83932800000093,0.006840342376925792,13.0,0 days 14:45:00,LONG
2025-10-07 12:00:00,2025-10-08 08:15:00,3967.085,4036.84,886.0047950000014,0.01717992304172975,13.0,0 days 20:15:00,LONG
2025-10-07 12:00:00,2025-10-08 10:30:00,3967.085,4040.4435,932.8409258999977,0.01808809095343299,13.0,0 days 22:30:00,LONG
2025-10-16 14:30:00,2025-10-16 22:00:00,4262.977,4331.885,806.2683312000042,0.01576105796489176,12.0,0 days 07:30:00,LONG
2025-10-16 14:30:00,2025-10-17 11:15:00,4262.977,4319.795,716.3187928000027,0.012925578908823633,13.0,0 days 20:45:00,LONG
2025-11-11 21:00:00,2025-11-12 03:00:00,4129.58,4117.6,-354.36533599998864,-0.0033004412070959926,26.0,0 days 06:00:00,LONG
2025-11-28 15:30:00,2025-12-01 10:15:00,4197.21,4258.77,778.2944520000052,0.014263952482720863,13.0,2 days 18:45:00,LONG
2025-11-28 15:30:00,2025-12-01 13:00:00,4197.21,4246.63,620.506016000001,0.01137213339337313,13.0,2 days 21:30:00,LONG
2025-12-22 16:45:00,2025-12-23 08:15:00,4435.96,4488.2300000000005,605.8219440000053,0.011380887564360452,12.0,0 days 15:30:00,LONG
2025-12-22 16:45:00,2025-12-23 09:15:00,4435.96,4481.54,569.354499999999,0.009873060171867998,13.0,0 days 16:30:00,LONG
2025-12-23 17:00:00,2025-12-26 16:00:00,4474.38,4546.64,845.4695520000026,0.01574649359240832,12.0,2 days 23:00:00,LONG
2025-12-23 17:00:00,2025-12-26 17:15:00,4474.38,4526.352,652.2340967999968,0.011213140949137078,13.0,3 days 00:15:00,LONG
